cell,outcome,truth_prevalence,probability_prevalence,hard_prevalence,probability_prevalence_error,hard_prevalence_error,probability_prevalence_abs_error,hard_prevalence_abs_error,brier,log_loss,hard_accuracy
deepseek_thin_high,mobile_ability,0.8692005865667494,0.8910198360961215,0.9450731228354704,0.021819249529372087,0.07587253626872104,0.021819249529372087,0.07587253626872104,0.11692072117472944,0.5091266605183363,0.8581457638538986
deepseek_thin_high,mobile_3m,0.8561965271808626,0.8550923492523732,0.9460705209215676,-0.0011041779284893805,0.08987399374070504,0.0011041779284893805,0.08987399374070504,0.12258258496012155,0.534884518992587,0.8481509108558417
deepseek_thin_high,computer_ability,0.1750038922189546,0.34873155716011656,0.2569089857514332,0.17372766494116196,0.08190509353247863,0.17372766494116196,0.08190509353247863,0.21932294082586778,1.2959557967472586,0.7498703979614251
deepseek_thin_high,internet_ability,0.5982961535981458,0.6556119503503386,0.70357659639434,0.05731579675219278,0.1052804427961942,0.05731579675219278,0.1052804427961942,0.2035972224567395,0.9861515844911479,0.7408036174655679
deepseek_thin_high,internet_3m,0.5803084541345586,0.6312442281378935,0.70357659639434,0.05093577400333493,0.12326814225978144,0.05093577400333493,0.12326814225978144,0.20604177085601266,0.9929245779502271,0.7347794629047395
deepseek_thin_high,copy_paste,0.4631552043400314,0.39476367105067545,0.379232081948786,-0.06839153328935593,-0.08392312239124539,0.06839153328935593,0.08392312239124539,0.262534209172466,1.2928092318526387,0.6535000876117156
deepseek_rich_off,mobile_ability,0.8692005865667494,0.9275343361451829,0.9920175614211174,0.058333749578433514,0.12281697485436804,0.058333749578433514,0.12281697485436804,0.11071631265522491,0.398313246183213,0.8711917693894374
deepseek_rich_off,mobile_3m,0.8561965271808626,0.8819242318112395,0.9920175614211174,0.02572770463037688,0.13582103424025482,0.02572770463037688,0.13582103424025482,0.11347795591295438,0.4092296014800704,0.8601861520830772
deepseek_rich_off,computer_ability,0.1750038922189546,0.34753428019410487,0.2500428750282756,0.17253038797515027,0.075038982809321,0.17253038797515027,0.075038982809321,0.20629522359532695,1.0855673059512099,0.7588139519459131
deepseek_rich_off,internet_ability,0.5982961535981458,0.780528214053451,0.9231261436016291,0.18223206045530516,0.32482999000348334,0.18223206045530516,0.32482999000348334,0.25738727092880576,1.002402801229821,0.6431257797052541
deepseek_rich_off,internet_3m,0.5803084541345586,0.7398898513072699,0.9231261436016291,0.15958139717271136,0.3428176894670706,0.15958139717271136,0.3428176894670706,0.2481678498344231,0.9712143502219549,0.6331262800801241
deepseek_rich_off,copy_paste,0.4631552043400314,0.2965822354497583,0.2480412265894067,-0.16657296889027307,-0.21511397775062469,0.16657296889027307,0.21511397775062469,0.29312689146325344,1.139145793913034,0.6327075714158906
