cell,subgroup,level,n,individual_brier,probability_prevalence_mae,hard_prevalence_mae,hard_accuracy
qwen_low,age_group,60+,140,0.12347913758281887,0.055859690402768815,0.12980307841692518,0.8249498324465803
qwen_low,age_group,35-44,190,0.18362656111975287,0.17158965325870382,0.16581426855877113,0.7569477609846995
qwen_low,gender_binary,female,491,0.16757460753576361,0.11577769664947814,0.14258650409484905,0.773132128172648
qwen_low,gender_binary,male,509,0.16645839130292303,0.1576013889076249,0.15365339446137746,0.7768816170445854
qwen_low,sector,rural,695,0.18036806302184477,0.15771187446893178,0.1907584892321419,0.758879805663854
qwen_low,sector,urban,305,0.13656065209457008,0.09035107154398019,0.10282838246350239,0.8118625022772737
qwen_medium,age_group,25-34,223,0.1803419999317536,0.188924599643755,0.1695769708903965,0.7556562191532092
qwen_medium,age_group,45-59,209,0.15123530378828293,0.06503626231568621,0.12422084727569153,0.7797930848775054
qwen_medium,age_group,15-24,238,0.17911217451638206,0.21386929024438248,0.16274313274569382,0.7503177794631358
qwen_medium,age_group,60+,140,0.11924937963529911,0.049130670479031684,0.11906098544837584,0.8285214207880858
qwen_medium,age_group,35-44,190,0.17739862190713404,0.16614358107530272,0.17374534267102115,0.7595656777261168
qwen_medium,gender_binary,female,491,0.17050968049532808,0.11709244725745971,0.15108813070148425,0.7639385884461584
qwen_medium,gender_binary,male,509,0.1594518778866451,0.14855116901390375,0.15330935425625794,0.7765269232089933
qwen_medium,sector,rural,695,0.1788704696392534,0.15365944183226654,0.20251495407503106,0.7514138218858545
qwen_medium,sector,urban,305,0.13301442384363063,0.0861665303238106,0.11320545072897688,0.8134750420638763
deepseek_thin_off,age_group,25-34,223,0.19092369104499723,0.10024297371969498,0.15014756885814448,0.7751296116771212
deepseek_thin_off,age_group,45-59,209,0.28661007498806196,0.2754637408496523,0.3488729827765762,0.6161379095922268
deepseek_thin_off,age_group,15-24,238,0.16647517618648694,0.10227159670570356,0.12125059313880138,0.8030359303278302
deepseek_thin_off,age_group,60+,140,0.26735245421472353,0.2983540780218641,0.36671708915052253,0.5999459713896284
deepseek_thin_off,age_group,35-44,190,0.2336949922566721,0.13712424552726368,0.20353855547082067,0.7157225976581205
deepseek_thin_off,gender_binary,female,491,0.25706047398385934,0.17674951817950604,0.25214118513414846,0.6662382907665968
deepseek_thin_off,gender_binary,male,509,0.1918646191152929,0.11590049698490872,0.1766530479113333,0.7577954768235755
deepseek_thin_off,sector,rural,695,0.21485773229591534,0.13799180330951308,0.2482651461223934,0.7109359649786567
deepseek_thin_off,sector,urban,305,0.24448449431936564,0.2273143924104973,0.27200192117633715,0.7170981206770962
deepseek_thin_high,age_group,25-34,223,0.19393136527474786,0.062351949051737944,0.07320589531969697,0.7639382613597588
deepseek_thin_high,age_group,45-59,209,0.2139775444243968,0.11978080882286568,0.13211195542008192,0.7245978756083375
deepseek_thin_high,age_group,15-24,238,0.15395506245605417,0.07500964351688201,0.06137210999445439,0.8072642502780958
deepseek_thin_high,age_group,60+,140,0.1643137828040645,0.09721100745749976,0.11315051422032583,0.7939858385076783
deepseek_thin_high,age_group,35-44,190,0.21501987971047667,0.08657707915497076,0.1184890081268248,0.7323862280265039
deepseek_thin_high,gender_binary,female,491,0.21527140400238012,0.07776688219311083,0.1022518329814321,0.7346528432561293
deepseek_thin_high,gender_binary,male,509,0.16264638304117016,0.06361042965583318,0.08476104654514612,0.7927504710250136
deepseek_thin_high,sector,rural,695,0.1787035182170315,0.04152956277613112,0.10601759905906434,0.7711767876390114
deepseek_thin_high,sector,urban,305,0.2108227367582468,0.17141921488781486,0.21343039992622495,0.7483295941395915
deepseek_rich_off,age_group,25-34,223,0.17026134340245194,0.0860919220834474,0.13968957708737928,0.785542305530071
deepseek_rich_off,age_group,45-59,209,0.2579159336084777,0.24444426988644222,0.2999472452635637,0.6538605642241263
deepseek_rich_off,age_group,15-24,238,0.16521152484914256,0.12283430284262646,0.14389778053291694,0.8030415840506259
deepseek_rich_off,age_group,60+,140,0.2631470252703958,0.2985085537949998,0.35239428096777464,0.6261593968654524
deepseek_rich_off,age_group,35-44,190,0.19409503588081756,0.1304629867696278,0.19739887167382494,0.7499788425688161
deepseek_rich_off,gender_binary,female,491,0.2290784079231444,0.15681955640004974,0.2379013096170163,0.6968840377622473
deepseek_rich_off,gender_binary,male,509,0.18147578859870858,0.10654187315274248,0.16878389756001952,0.7682548325041805
deepseek_rich_off,sector,rural,695,0.21263268627520848,0.13302395657100144,0.23772666392582575,0.7185952473684608
deepseek_rich_off,sector,urban,305,0.18715482931164443,0.11748352217572834,0.17354571589234716,0.7664530434286951
deepseek_rich_high,age_group,25-34,223,0.19387879035099392,0.11812522046522522,0.0821642327811994,0.7624236912448819
deepseek_rich_high,age_group,45-59,209,0.19559702604455678,0.07095614072937373,0.07514049662512966,0.7717897218362174
deepseek_rich_high,age_group,15-24,238,0.18710296114678596,0.13984736692079605,0.10973214425685211,0.7755864129374214
deepseek_rich_high,age_group,60+,140,0.14721726016996603,0.029504594657253063,0.04405588562946161,0.8297205576514388
deepseek_rich_high,age_group,35-44,190,0.19801214584513874,0.07693419401645375,0.050004689696500515,0.7623135060984495
deepseek_rich_high,gender_binary,female,491,0.20184457149625856,0.07919210152047416,0.056335469993123576,0.7601361775509424
deepseek_rich_high,gender_binary,male,509,0.17247268224850584,0.06086870649613918,0.03198295737861059,0.7930388490836777
deepseek_rich_high,sector,rural,695,0.19721430011741503,0.0973571445160567,0.09707755206635095,0.7658478898010517
deepseek_rich_high,sector,urban,305,0.1634050563952538,0.07749561129646326,0.10938308898514171,0.8020005532064485
